import time: self [us] | cumulative | imported package
import time:      2132 |       3239 |               cryptography.hazmat.bindings._rust
import time:       341 |       3579 |             cryptography.exceptions
import time:       652 |        652 |               cryptography.hazmat.primitives.hashes
import time:       786 |       1437 |             cryptography.hazmat._oid
import time:      1075 |       1075 |             cryptography.hazmat.primitives._serialization
import time:       392 |        392 |             cryptography.hazmat.primitives.asymmetric.utils
import time:       768 |       9873 |           cryptography.hazmat.primitives.asymmetric.ec
import time:       683 |      10555 |         jwt.utils
import time:       411 |        411 |         cryptography.hazmat.backends
import time:       372 |        372 |           cryptography.hazmat.primitives._asymmetric
import time:       414 |        414 |           cryptography.hazmat.primitives.asymmetric.rsa
import time:       460 |       1245 |         cryptography.hazmat.primitives.asymmetric.padding
import time:       376 |        376 |         cryptography.hazmat.primitives.asymmetric.ed448
import time:       349 |        349 |         cryptography.hazmat.primitives.asymmetric.ed25519
import time:       339 |        339 |           cryptography.hazmat.primitives.serialization.base
import time:       430 |        430 |             cryptography.hazmat.primitives.asymmetric.dsa
import time:       673 |        673 |               cryptography.hazmat.primitives._cipheralgorithm
import time:       313 |        313 |                         cryptography.hazmat.decrepit
import time:       384 |        697 |                       cryptography.hazmat.decrepit.ciphers
import time:       744 |       1440 |                     cryptography.hazmat.decrepit.ciphers.algorithms
import time:       575 |       2015 |                   cryptography.hazmat.primitives.ciphers.algorithms
import time:       818 |       2832 |                 cryptography.hazmat.primitives.ciphers.modes
import time:       919 |       3751 |               cryptography.hazmat.primitives.ciphers.base
import time:       468 |       4891 |             cryptography.hazmat.primitives.ciphers
import time:       199 |        199 |             bcrypt
import time:      1731 |       7250 |           cryptography.hazmat.primitives.serialization.ssh
import time:       325 |       7913 |         cryptography.hazmat.primitives.serialization
import time:       680 |      22362 |       jwt.algorithms
import time:       516 |      22877 |     jwt.api_jwk
import time:       528 |        528 |       jwt.warnings
import time:       563 |       1091 |     jwt.api_jws
import time:      1191 |       1191 |       calendar
import time:       687 |       1878 |     jwt.api_jwt
import time:       358 |        358 |           urllib.response
import time:       468 |        826 |         urllib.error
import time:       584 |        584 |         nturl2path
