import time: self [us] | cumulative | imported package
import time:       680 |       1463 |                     numpy.lib.array_utils
import time:     17717 |      17717 |                     numpy.linalg._umath_linalg
import time:      2649 |      37055 |                   numpy.linalg._linalg
import time:       735 |      37790 |                 numpy.linalg
import time:       854 |      38643 |               numpy.matrixlib.defmatrix
import time:       679 |      39322 |             numpy.matrixlib
import time:      1326 |       1326 |               numpy.lib._histograms_impl
import time:      2766 |       4092 |             numpy.lib._function_base_impl
import time:       981 |      44394 |           numpy.lib._index_tricks_impl
import time:      1422 |      45815 |         numpy.lib._arraypad_impl
import time:      1344 |       1344 |         numpy.lib._arraysetops_impl
import time:      1076 |       1076 |         numpy.lib._arrayterator_impl
import time:      1067 |       1067 |         numpy.lib._nanfunctions_impl
import time:     25637 |      25637 |                   _wmi
import time:      1966 |      27602 |                 platform
import time:       822 |      28424 |               numpy.lib._utils_impl
import time:       771 |      29195 |             numpy.lib._format_impl
import time:       755 |      29950 |           numpy.lib.format
import time:      1901 |       1901 |           numpy.lib._datasource
import time:      1726 |       1726 |           numpy.lib._iotools
import time:      1166 |      34742 |         numpy.lib._npyio_impl
import time:       838 |        838 |             numpy.lib._ufunclike_impl
import time:      1066 |       1904 |           numpy.lib._type_check_impl
import time:      1245 |       3148 |         numpy.lib._polynomial_impl
import time:      1735 |       1735 |         numpy.lib._shape_base_impl
import time:       975 |        975 |         numpy.lib._version
import time:       805 |        805 |         numpy.lib.introspect
import time:       840 |        840 |         numpy.lib.mixins
import time:       461 |        461 |         numpy.lib.npyio
import time:       714 |        714 |           numpy.lib._scimath_impl
import time:       670 |       1384 |         numpy.lib.scimath
import time:       485 |        485 |         numpy.lib.stride_tricks
import time:      1329 |      95201 |       numpy.lib
import time:      1404 |       1404 |       numpy._array_api_info
import time:      2843 |    1103337 |     numpy
import time:       846 |        846 |       dateutil._version
import time:      1775 |       2621 |     dateutil
import time:     63246 |      63246 |       pandas.compat._constants
import time:       909 |        909 |           pandas.util
import time:      2139 |       3047 |         pandas.util.version
import time:      2493 |       5540 |       pandas.compat.numpy
import time:       196 |        196 |         pyarrow
import time:       995 |       1190 |       pandas.compat.pyarrow
import time:      1997 |      71971 |     pandas.compat
import time:       753 |        753 |             numpy._typing._add_docstring
import time:       759 |       1512 |           numpy.typing
import time:    137825 |     137825 |                 numpy.random._common
import time:     29009 |     166834 |               numpy.random.bit_generator
import time:     20241 |     187074 |             numpy.random._bounded_integers
import time:     20794 |      20794 |                 numpy.random._pcg64
import time:     24408 |      45202 |               numpy.random._generator
import time:     19394 |      19394 |               numpy.random._mt19937
import time:     19747 |      19747 |               numpy.random._philox
import time:     18422 |      18422 |               numpy.random._sfc64
import time:     23683 |      23683 |               numpy.random.mtrand
import time:      2454 |     128899 |             numpy.random._pickle
import time:      1061 |     317033 |           numpy.random
import time:      2823 |     321368 |         pandas._typing
import time:      1147 |       1147 |         pandas.util._exceptions
import time:      1381 |     323895 |       pandas._config.config
import time:       976 |        976 |       pandas._config.dates
import time:       921 |        921 |       pandas._config.display
import time:      1477 |     327268 |     pandas._config
import time:       855 |        855 |       pandas.core
import time:     18007 |      18007 |             pandas._libs.pandas_parser
import time:     37279 |      37279 |             pandas._libs.pandas_datetime
import time:     19118 |      19118 |                           pandas._libs._cyutility
import time:     19381 |      38499 |                         pandas._libs.tslibs.ccalendar
import time:     19860 |      19860 |                         pandas._libs.tslibs.np_datetime
import time:     20537 |      78895 |                       pandas._libs.tslibs.dtypes
import time:     19190 |      19190 |                         pandas._libs.tslibs.base
import time:     19270 |      19270 |                             pandas._libs.tslibs.nattype
import time:      1142 |       1142 |                                 pandas.compat._optional
import time:      1576 |       1576 |                                     six
import time:        85 |         85 |                                     six.moves
import time:      2177 |       2177 |                                     dateutil.tz._common
import time:       868 |        868 |                                     dateutil.tz._factories
import time:      1543 |       1543 |                                       ctypes.wintypes
import time:      1739 |       3281 |                                     dateutil.tz.win
import time:      4035 |      12021 |                                   dateutil.tz.tz
import time:      1903 |      13924 |                                 dateutil.tz
import time:     27272 |      42337 |                               pandas._libs.tslibs.timezones
import time:     17053 |      17053 |                                 pandas._libs.properties
import time:      1038 |      18090 |                               pandas.util._decorators
import time:     14675 |      14675 |                                 _strptime
import time:      1087 |       1087 |                                 pandas._config.localization
import time:     18549 |      34310 |                               pandas._libs.tslibs.fields
import time:     21754 |     116490 |                             pandas._libs.tslibs.timedeltas
import time:     18277 |      18277 |                             pandas._libs.tslibs.tzconversion
import time:     22790 |     176826 |                           pandas._libs.tslibs.timestamps
import time:      1162 |       1162 |                           dateutil.easter
import time:     49449 |     227436 |                         pandas._libs.tslibs.offsets
import time:       671 |        671 |                               dateutil._common
import time:      2472 |       3142 |                             dateutil.parser._parser
import time:      1074 |       1074 |                             dateutil.parser.isoparser
import time:      2375 |       6590 |                           dateutil.parser
import time:     17846 |      17846 |                           pandas._libs.tslibs.strptime
import time:     56851 |      81285 |                         pandas._libs.tslibs.parsing
import time:     19764 |     347674 |                       pandas._libs.tslibs.conversion
import time:     22218 |      22218 |                       pandas._libs.tslibs.period
import time:     19041 |      19041 |                       pandas._libs.tslibs.vectorized
import time:      1470 |     469297 |                     pandas._libs.tslibs
import time:        41 |     469337 |                   pandas._libs.tslibs.nattype
import time:     19308 |      19308 |                   pandas._libs.ops_dispatch
import time:     21513 |     510157 |                 pandas._libs.missing
import time:    247489 |     757646 |               pandas._libs.hashtable
import time:     21446 |      21446 |               pandas._libs.algos
import time:     42490 |     821580 |             pandas._libs.interval
import time:       793 |     877658 |           pandas._libs
import time:        40 |     877698 |         pandas._libs.tslibs
import time:      1516 |     879214 |       pandas.errors
import time:      2180 |     882248 |     pandas.core.config_init
import time:      1018 |       1018 |         pandas.core.dtypes
import time:       217 |        217 |           pyarrow
import time:     21180 |      21396 |         pandas._libs.lib
import time:      1019 |       1019 |           pandas.core.dtypes.generic
import time:      1773 |       2792 |         pandas.core.dtypes.base
import time:       634 |        634 |         pandas.core.dtypes.inference
import time:      2847 |      28685 |       pandas.core.dtypes.dtypes
import time:       830 |        830 |         pandas.core.dtypes.common
import time:       932 |       1761 |       pandas.core.dtypes.missing
import time:       921 |        921 |             pandas.io
import time:       874 |       1794 |           pandas.io._util
import time:      1219 |       3013 |         pandas.core.dtypes.cast
import time:       629 |        629 |           pandas.core.dtypes.astype
import time:       631 |       1260 |         pandas.core.dtypes.concat
import time:      1041 |       1041 |           pandas.core.array_algos
import time:      5122 |       5122 |               numpy.ma.core
import time:      1814 |       1814 |               numpy.ma.extras
import time:      1131 |       8066 |             numpy.ma
import time:      1045 |       1045 |               pandas.core.col
import time:      1745 |       2790 |             pandas.core.common
import time:       945 |      11801 |           pandas.core.construction
import time:      1294 |      14135 |         pandas.core.array_algos.take
import time:       981 |        981 |           pandas.core.indexers.utils
import time:       925 |       1906 |         pandas.core.indexers
import time:       805 |      21116 |       pandas.core.algorithms
import time:      1130 |       1130 |           pandas.core.arrays.arrow.accessors
import time:       894 |        894 |             pandas.core.missing
import time:     63725 |      63725 |                 pandas._libs.ops
